Team,Conference,Games,Wins,Losses,Off Rank,Off Plays,Off Yards,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,First Downs,Interceptions Thrown.x,Pass Yards,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Pass Yards Per Game Allowed,Rushing Def Rank,Opp Rush Touchdowns Allowed,Rushing Off Rank,Rushing TD,Sack Rank,Scoring Def Rank,Touchdowns Allowed,Points Allowed,Avg Points per Game Allowed,Scoring Off Rank,Touchdowns,PAT,2 Point Conversions,Feild Goals,Total Points,Points Per Game,Time of Possession Rank,Turnover Rank,Fumbles Recovered
Air Force ,Mountain West,13,11,2,51,881,5483,55,421.8,17,752,4155,32,34,319.6,286,6,1602,14,123.2,51,219.1,7,11,2,41,72,20,34,258,19.8,21,58,52,1,13,443,34.1,2,78,9
Akron ,MAC,12,0,12,130,725,2918,14,243.2,83,871,4967,51,56,413.9,155,14,2347,12,195.6,29,200.4,116,28,130,2,130,122,56,435,36.3,130,15,13,1,7,126,10.5,122,128,6
Alabama ,SEC,13,11,2,6,842,6640,76,510.8,20,877,4218,24,26,324.5,318,6,4449,49,342.2,11,187.2,37,9,56,27,44,13,26,242,18.6,2,83,80,0,12,614,47.2,70,3,11
Appalachian St. ,Sun Belt,14,13,1,39,969,6064,65,433.1,26,940,4705,34,35,336.1,295,6,2824,30,201.7,35,206.7,29,14,16,35,34,21,35,280,20,9,73,72,0,11,543,38.8,36,7,10
Arizona ,Pac-12,12,4,8,30,873,5281,42,440.1,120,889,5657,53,54,471.4,270,12,3193,23,266.1,126,289.8,88,27,52,19,111,118,54,429,35.8,77,42,37,1,10,323,26.9,115,89,4
Arizona St. ,Pac-12,13,8,5,94,842,4837,34,372.1,67,928,5113,39,39,393.3,233,4,3235,21,248.8,115,268.2,26,15,115,13,72,35,39,291,22.4,96,36,29,4,23,322,24.8,86,6,15
Arkansas ,SEC,12,2,10,111,783,4081,28,340.1,110,827,5408,54,57,450.7,219,15,2315,14,192.9,69,229.2,122,29,85,14,94,124,57,442,36.8,110,31,29,0,14,257,21.4,111,97,10
Arkansas St. ,Sun Belt,13,8,5,33,925,5711,50,439.3,124,1018,6218,55,56,478.3,287,11,4057,37,312.1,111,262.8,118,32,112,13,81,114,56,444,34.2,26,54,53,0,19,438,33.7,113,86,7
Army West Point ,FBS Independent,13,5,8,89,869,4929,51,379.2,30,789,4450,37,38,342.3,272,7,1066,6,82,5,178.9,73,21,3,45,102,41,38,299,23,67,52,44,1,4,370,28.5,14,70,10
Auburn ,SEC,13,9,4,64,947,5285,51,406.5,28,905,4381,31,32,337,279,6,2697,20,207.5,47,213.8,25,10,33,31,64,17,32,254,19.5,28,54,52,1,18,432,33.2,73,27,13
Ball St. ,MAC,12,5,7,16,909,5556,51,463,91,876,5096,45,47,424.7,292,7,2923,24,243.6,95,245.1,86,34,22,27,118,94,47,377,31.4,18,53,49,2,15,418,34.8,59,15,9
Baylor ,Big 12,14,11,3,52,948,5901,59,421.5,39,1032,5046,31,32,360.4,308,8,3571,24,255.1,49,217.6,49,16,61,35,9,19,32,277,19.8,27,61,57,0,16,471,33.6,102,11,13
Boise St. ,Mountain West,14,12,2,48,993,6006,58,429,33,928,4848,39,39,346.3,318,11,3664,31,261.7,77,233.6,15,19,59,27,20,31,39,306,21.9,19,63,61,1,15,486,34.7,37,61,9
Boston College ,ACC,13,6,7,47,964,5579,47,429.2,125,983,6223,48,49,478.7,277,6,2288,20,176,122,285.5,100,19,8,27,110,101,49,418,32.2,66,49,45,1,12,377,29,110,33,7
Bowling Green ,MAC,12,3,9,120,839,3829,24,319.1,117,798,5606,60,62,467.2,204,15,1888,9,157.3,64,224.3,126,36,65,15,72,126,62,463,38.6,128,25,22,0,6,192,16,83,103,8
Buffalo ,MAC,13,8,5,82,937,5051,50,388.5,7,780,3795,33,35,291.9,276,6,1795,14,138.1,22,197.8,4,15,10,36,8,26,35,277,21.3,46,54,50,0,11,409,31.5,5,19,11
BYU ,FBS Independent,13,7,6,28,933,5769,45,443.8,68,914,5116,36,40,393.5,294,11,3701,20,284.7,65,226,78,14,68,25,117,48,40,331,25.5,67,46,43,0,17,370,28.5,52,57,7
California ,Pac-12,13,8,5,117,841,4271,35,328.5,65,945,5076,32,32,390.5,244,9,2561,19,197,112,264.2,27,16,104,16,21,33,32,285,21.9,112,35,33,0,11,276,21.2,78,46,8
Central Mich. ,MAC,14,8,6,37,999,6070,55,433.6,41,938,5082,45,49,363,312,13,3531,19,252.2,89,240.2,24,20,42,36,68,72,49,396,28.3,54,55,47,4,13,426,30.4,57,120,6
Charlotte ,C-USA,13,7,6,56,848,5388,50,414.5,59,824,4952,50,56,380.9,271,14,2749,24,211.5,14,189,97,27,31,26,21,103,56,421,32.4,59,52,42,2,10,388,29.8,24,90,6
